county_fips,county_name,state,photo_id,tot_votes,pop,vap,turnout,political_lean,white_perc,bach_perc,felony_laws
1001,AUTAUGA,Alabama,1,27770,58809,55640,49.91013659,46.48192445,75.86423847,28.3,"Prison, parole, probation, post-sentence"
1003,BALDWIN,Alabama,1,109679,231768,218290,50.2446287,55.56375977,87.3226675,31.9,"Prison, parole, probation, post-sentence"
1005,BARBOUR,Alabama,1,10518,25229,25025,42.02997003,3.362170517,49.40346427,11.6,"Prison, parole, probation, post-sentence"
1007,BIBB,Alabama,1,9595,22301,22375,42.88268156,53.1854044,76.77234205,11.3,"Prison, parole, probation, post-sentence"
1009,BLOUNT,Alabama,1,27588,59130,57755,47.76729288,78.33505707,95.7162185,13.3,"Prison, parole, probation, post-sentence"
1011,BULLOCK,Alabama,1,4613,10360,10175,45.33660934,-51.13396434,24.54633205,10.3,"Prison, parole, probation, post-sentence"
1013,BUTLER,Alabama,1,9488,19046,19725,48.10139417,12.23344786,51.84815709,16,"Prison, parole, probation, post-sentence"
1015,CALHOUN,Alabama,1,50983,116441,114325,44.59479554,37.30814114,74.2547728,18.9,"Prison, parole, probation, post-sentence"
1017,CHAMBERS,Alabama,1,15284,34772,33425,45.7262528,11.86815716,56.92223628,14.4,"Prison, parole, probation, post-sentence"
1019,CHEROKEE,Alabama,1,12301,24973,26035,47.24793547,65.59603812,92.78420694,12.9,"Prison, parole, probation, post-sentence"
1021,CHILTON,Alabama,1,19310,45011,44145,43.74221316,64.65623511,86.99206861,13.6,"Prison, parole, probation, post-sentence"
1023,CHOCTAW,Alabama,1,7464,12669,12755,58.51822815,11.30924495,57.2341937,13.5,"Prison, parole, probation, post-sentence"
1025,CLARKE,Alabama,1,13135,23091,23865,55.03875969,10.27376794,52.59624962,13.8,"Prison, parole, probation, post-sentence"
1027,CLAY,Alabama,1,6930,14237,13285,52.16409484,56.22629043,83.23382735,11.8,"Prison, parole, probation, post-sentence"
1029,CLEBURNE,Alabama,1,7227,15057,14950,48.34113712,75.21541793,94.85953377,16,"Prison, parole, probation, post-sentence"
1031,COFFEE,Alabama,1,22275,53459,52240,42.63973966,52.82231469,75.62243963,21.7,"Prison, parole, probation, post-sentence"
1033,COLBERT,Alabama,1,27886,57232,54955,50.74333546,32.40223469,80.3204501,17.4,"Prison, parole, probation, post-sentence"
1035,CONECUH,Alabama,1,6441,11597,12220,52.7086743,3.633818536,51.54781409,13.8,"Prison, parole, probation, post-sentence"
1037,COOSA,Alabama,1,5479,10378,10695,51.22954652,26.74032748,66.71805743,11.6,"Prison, parole, probation, post-sentence"
1039,COVINGTON,Alabama,1,17430,37563,37095,46.98746462,64.88341188,84.37025797,15.6,"Prison, parole, probation, post-sentence"
1041,CRENSHAW,Alabama,1,6617,13193,13825,47.86256781,42.93908188,71.78048965,18.5,"Prison, parole, probation, post-sentence"
1043,CULLMAN,Alabama,1,41851,87857,83345,50.21417002,74.6655054,95.90357057,15.4,"Prison, parole, probation, post-sentence"
1045,DALE,Alabama,1,19738,49322,49295,40.04057207,46.17723368,73.52905397,18.2,"Prison, parole, probation, post-sentence"
1047,DALLAS,Alabama,1,17864,38458,38185,46.7827681,-38.25539767,27.47412762,16.6,"Prison, parole, probation, post-sentence"
1049,DEKALB,Alabama,1,29356,71617,71430,41.09757805,64.50161832,92.43894606,14,"Prison, parole, probation, post-sentence"
1051,ELMORE,Alabama,1,41030,87980,81525,50.32812021,49.50195771,75.20913844,25.8,"Prison, parole, probation, post-sentence"
1053,ESCAMBIA,Alabama,1,15910,36768,36775,43.26308634,32.95052314,62.37761097,12.5,"Prison, parole, probation, post-sentence"
1055,ETOWAH,Alabama,1,47728,103434,102720,46.46417445,46.06847134,80.59438869,17.7,"Prison, parole, probation, post-sentence"
1057,FAYETTE,Alabama,1,8766,16326,16405,53.43492838,61.84710323,85.72216097,12.3,"Prison, parole, probation, post-sentence"
1059,FRANKLIN,Alabama,1,12578,32112,31585,39.82270065,55.58834424,91.42376682,15,"Prison, parole, probation, post-sentence"
1061,GENEVA,Alabama,1,12545,26658,26385,47.54595414,69.60829816,86.89699152,13.1,"Prison, parole, probation, post-sentence"
1063,GREENE,Alabama,1,4775,7731,8220,58.09002433,-65.89464126,17.85021343,10.1,"Prison, parole, probation, post-sentence"
1065,HALE,Alabama,1,7900,14788,14755,53.54117248,-21.33710703,40.28942386,15.6,"Prison, parole, probation, post-sentence"
1067,HENRY,Alabama,1,9298,17141,17125,54.29489051,37.82029077,71.72276997,18.9,"Prison, parole, probation, post-sentence"
1069,HOUSTON,Alabama,1,46173,107202,105320,43.84067603,43.34909042,68.50525177,22.1,"Prison, parole, probation, post-sentence"
1071,JACKSON,Alabama,1,23636,52579,51765,45.66019511,57.10618353,91.45666521,16.2,"Prison, parole, probation, post-sentence"
1073,JEFFERSON,Alabama,1,325848,674340,658615,49.47473106,-8.800579609,53.15938547,34.1,"Prison, parole, probation, post-sentence"
1075,LAMAR,Alabama,1,7193,13972,13855,51.91627571,64.71269433,87.54652161,11.3,"Prison, parole, probation, post-sentence"
1077,LAUDERDALE,Alabama,1,44339,93562,92870,47.74308173,40.3168037,86.61101729,25.1,"Prison, parole, probation, post-sentence"
1079,LAWRENCE,Alabama,1,16031,33074,32970,48.6229906,43.40032225,78.40902219,15.8,"Prison, parole, probation, post-sentence"
1081,LEE,Alabama,1,71449,174247,163460,43.71038786,20.86936525,70.85172198,36.4,"Prison, parole, probation, post-sentence"
